	yuanlai	yuce	shaixuan
羚羊角、姜黄。羚羊角。咸。姜黄。苦,辛。羚羊角。寒。姜黄。温。羚羊角。心,肝。明目,清肝,解毒,凉血,平肝姜黄肝,脾通经,破血,行气,止痛。	0	0	0
大蓟、白薇。大蓟。微苦,甘。白薇。苦,咸。大蓟。凉。白薇。寒。大蓟。心,肝。止血,消肿,凉血白薇胃,肺解毒,利尿,疗疮,通淋,清热。	0	0	0
甘草梢、枳壳。甘草梢。甘。枳壳。酸,苦。甘草梢。寒。枳壳。微寒。甘草梢。心,肝,脾。解毒,通淋,利尿,泻火枳壳肺,胃,大肠,肝,脾消积,理气,行滞,宽胸。	0	0	0
五加皮、黄精。五加皮。微甘,苦,辛。黄精。甘。五加皮。温。黄精。平。五加皮。肾,肝。祛风,补肝,强筋,活血黄精脾,肺,肾润肺。	0	0	0
楮实、荷叶。楮实。甘。荷叶。涩,苦。楮实。寒。荷叶。平。楮实。肝,脾,肾。清肝,利水,明目,健脾荷叶心,肝,胆,肺,脾散瘀,止血,清热,解暑。	0	0	0
益母草、补骨脂。益母草。辛,苦。补骨脂。辛,苦。益母草。0。补骨脂。温。益母草。心包,肾,肝。利尿,解毒,消肿,调经,清热,活血补骨脂脾,心包,肾,胃,肺助阳,温脾,止泻,补肾,平喘,纳气。	1	0	1
紫苏子、石决明。紫苏子。辛。石决明。咸。紫苏子。温。石决明。寒。紫苏子。大肠,肺。润肠,平喘,降气石决明肝清热,明目,平肝。	0	0	0
桑白皮、大腹皮。桑白皮：甘、寒。大腹皮：辛、微温。 。桑白皮：归肺、脾经。大腹皮：归脾、胃、大小肠经。 桑白皮：泻肺平喘，行水消肿。大腹皮：下气宽中，行水。 。	0	1	-1
土贝母、女贞子。土贝母。苦。女贞子。苦,甘。土贝母。凉。女贞子。凉。土贝母。脾,肺。清热,散结,化痰女贞子肝,肾明目,清虚热。	0	0	0
藜芦、枸杞子。藜芦。苦,辛。枸杞子。甘。藜芦。寒。枸杞子。平。藜芦。肝,胃,肺。杀虫枸杞子肝,肺,肾润肺。	0	0	0
大蒜、女贞子。大蒜。辛。女贞子。苦,甘。大蒜。温。女贞子。凉。大蒜。大肠,肺,胃,脾。温中,杀虫,解毒,行滞女贞子肝,肾明目,清虚热。	0	0	0
大蓟、胡桃仁。大蓟。微苦,甘。胡桃仁。甘,涩。大蓟。凉。胡桃仁。温。大蓟。心,肝。止血,消肿,凉血胡桃仁肝,肺,肾温肺,润肠,通便,补肾,固精。	0	0	0
绿豆、川贝母。绿豆。甘。川贝母。甘。绿豆。寒。川贝母。微寒。绿豆。心,胃。解毒,利水,清热川贝母心,肺清热,化痰,散结,消肿,止咳,润肺。	0	0	0
紫菀、半夏。紫菀：苦、温。半夏紫菀：归肺经。半夏。温。紫菀：温肺，下气，消痰，止嗽。半夏脾,胃,肺消痞,化痰,降逆,止呕,散结。	1	1	0
皂荚子、薤白。皂荚子。辛。薤白。辛,苦。皂荚子。温。薤白。0。皂荚子。大肠,肺。祛风,散热,散结,润肠,通便,化痰薤白心,大肠,胃,肺宽胸,通阳,散结,理气。	0	0	0
白附子、川贝母。白附子。辛,甘。川贝母。甘。白附子。温。川贝母。微寒。白附子。肝,胃。解毒,通经,祛风川贝母心,肺清热,化痰,散结,消肿,止咳,润肺。	0	0	0
柿蒂、槟榔。柿蒂。涩,苦。槟榔。辛,苦。柿蒂。平。槟榔。温。柿蒂。胃。降逆槟榔大肠,胃消积,截疟。	0	0	0
天南星、蝉蜕。天南星。辛,苦。蝉蜕。咸,甘。天南星。温。蝉蜕。凉。天南星。肝,肺,脾。止痉,祛风,散结,化痰蝉蜕肝,肺退翳,明目,利咽,止痉,祛风,透疹。	0	0	0
茵陈蒿、熟地黄。茵陈蒿。微苦,微辛。熟地黄。甘。茵陈蒿。微寒。熟地黄。温。茵陈蒿。胃,膀胱,脾。退黄,清热熟地黄肝,肾补血,填髓,益精。	1	0	1
甘草梢、侧柏叶。甘草梢。甘。侧柏叶。涩,苦。甘草梢。寒。侧柏叶。微寒。甘草梢。心,肝,脾。解毒,通淋,利尿,泻火侧柏叶肝,大肠,肺止咳,祛风,祛痰,凉血,止血。	0	0	0
淡豆豉、荷梗。淡豆豉。辛,苦。荷梗。苦。淡豆豉。平。荷梗。平。淡豆豉。心,膀胱,三焦,胃,小肠,肺。解肌,除烦荷梗脾,膀胱解暑,清热,理气。	0	0	0
丝瓜络、石菖蒲。丝瓜络。苦。石菖蒲。辛,苦。丝瓜络。凉。石菖蒲。微温。丝瓜络。肝,胃,肺。消肿,解毒,通经石菖蒲心,脾,肝开窍,化痰,行气,消肿,止痛,祛风。	0	0	0
小蓟、薤白。小蓟。甘,微苦。薤白。辛,苦。小蓟。凉。薤白。0。小蓟。肝,脾。止血,清热,凉血,消肿薤白心,大肠,胃,肺宽胸,通阳,散结,理气。	0	0	0
车前草、葱白。车前草。甘。葱白。辛。车前草。寒。葱白。温。车前草。肝,膀胱,肾。解毒,清热,凉血,利尿葱白胃,肺杀虫,通阳,解毒。	0	0	0
伏龙肝、石斛。伏龙肝。辛。石斛。甘。伏龙肝。温。石斛。微寒。伏龙肝。肝,胃,脾。温中,止呕,止泻,止血石斛肾,胃,肺滋阴,润肺,明目,强腰,生津,清热。	0	0	0
紫菀、麻黄。紫菀：苦、温。麻黄。辛,微苦。紫菀：归肺经。麻黄。温。紫菀：温肺，下气，消痰，止嗽。麻黄。膀胱,肺。解表,发汗,利水,宣肺,平喘,消肿神曲胃,脾和胃,消食,健脾。	1	1	0
萆薢、萹蓄。萆薢。苦。萹蓄。苦。萆薢。平。萹蓄。微寒。萆薢。肝,胃,膀胱。祛风萹蓄大肠,膀胱通淋,止痒,杀虫,利水。	0	0	0
大蒜、鹿角胶。大蒜。辛。鹿角胶。咸,甘。大蒜。温。鹿角胶。温。大蒜。大肠,肺,胃,脾。温中,杀虫,解毒,行滞鹿角胶肝,肾止血,益精,益精血,安胎。	0	0	0
胡黄连、龙胆草。胡黄连。苦。龙胆草。苦。胡黄连。寒。龙胆草。寒。胡黄连。肝,胃,大肠。解毒,泻火,清热龙胆草肝,胆定惊,清热。	0	0	0
牛黄、赤石脂。牛黄。苦,甘。赤石脂。甘,酸,涩。牛黄。凉。赤石脂。温。牛黄。心,肝。清热,开窍,清心,解毒赤石脂心,脾,胃,大肠止血,收敛,敛疮,生肌,涩肠。	0	0	0
紫菀、白芷。紫菀：苦、温。白芷。辛。紫菀：归肺经。白芷。温。紫菀：温肺，下气，消痰，止嗽。白芷。脾,肺,胃。排脓,除湿,消肿,祛风,止痛。	0	1	-1
石灰、石菖蒲。石灰。涩,苦,辛。石菖蒲。辛,苦。石灰。温。石菖蒲。微温。石灰。肝。止痒,杀虫,敛疮,止血,解毒石菖蒲心,脾,肝开窍,化痰,行气,消肿,止痛,祛风。	0	0	0
胡桃仁、小蓟。胡桃仁。甘,涩。小蓟。甘,微苦。胡桃仁。温。小蓟。凉。胡桃仁。肝,肺,肾。温肺,润肠,通便,补肾,固精小蓟肝,脾止血,清热,凉血,消肿。	0	0	0
紫菀、沉香。紫菀：苦、温。沉香。辛,苦。紫菀：归肺经。沉香。温。紫菀：温肺，下气，消痰，止嗽。沉香肝,肾,胃,胆,脾,肺降逆,平喘,温中,止痛,纳气,行气。	0	1	-1
胡桃仁、五加皮。胡桃仁。甘,涩。五加皮。微甘,苦,辛。胡桃仁。温。五加皮。温。胡桃仁。肝,肺,肾。温肺,润肠,通便,补肾,固精五加皮肾,肝祛风,补肝,强筋,活血。	0	0	0
益母草、禹余粮。益母草。辛,苦。禹余粮。咸。益母草。0。禹余粮。平,寒。益母草。心包,肾,肝。利尿,解毒,消肿,调经,清热,活血禹余粮大肠,胃,脾涩肠,止带,止血。	1	0	1
茺蔚子、莱菔子。茺蔚子。辛,甘。莱菔子。甘,辛。茺蔚子。微寒。莱菔子。平。茺蔚子。肝。清肝,明目,活血,调经莱菔子大肠,肺,胃,脾降气,消食,化痰。	0	0	0
大青叶、藜芦。大青叶。苦。藜芦。苦,辛。大青叶。寒。藜芦。寒。大青叶。心,肝,胃,脾。清热,凉血,解毒藜芦肝,胃,肺杀虫。	0	0	0
甘草梢、茺蔚子。甘草梢。甘。茺蔚子。辛,甘。甘草梢。寒。茺蔚子。微寒。甘草梢。心,肝,脾。解毒,通淋,利尿,泻火茺蔚子肝清肝,明目,活血,调经。	0	0	0
淡豆豉、淫羊藿。淡豆豉。辛,苦。淫羊藿。甘,辛。淡豆豉。平。淫羊藿。温。淡豆豉。心,膀胱,三焦,胃,小肠,肺。解肌,除烦淫羊藿肾,肝补肾,祛风,强筋,除湿。	0	0	0
荷梗、地锦草。荷梗。苦。地锦草。辛。荷梗。平。地锦草。平。荷梗。脾,膀胱。解暑,清热,理气地锦草肝,膀胱,胃,大肠,肺清热,活血,退黄,解毒,止血。	0	0	0
葱白、薄荷。葱白。辛。薄荷。辛。葱白。温。薄荷。凉。葱白。胃,肺。杀虫,通阳,解毒薄荷肝,肺利咽,解郁,透疹。	0	0	0
淫羊藿、赤石脂。淫羊藿。甘,辛。赤石脂。甘,酸,涩。淫羊藿。温。赤石脂。温。淫羊藿。肾,肝。补肾,祛风,强筋,除湿赤石脂心,脾,胃,大肠止血,收敛,敛疮,生肌,涩肠。	1	0	1
太子参、白附子。太子参。微苦,甘。白附子。辛,甘。太子参。微寒。白附子。温。太子参。肺。生津白附子肝,胃解毒,通经,祛风。	0	0	0
紫菀、半夏。紫菀：苦、温。半夏紫菀：归肺经。半夏。温。紫菀：温肺，下气，消痰，止嗽。半夏脾,胃,肺消痞,化痰,降逆,止呕,散结。	1	1	0
淡豆豉、薤白。淡豆豉。辛,苦。薤白。辛,苦。淡豆豉。平。薤白。0。淡豆豉。心,膀胱,三焦,胃,小肠,肺。解肌,除烦薤白心,大肠,胃,肺宽胸,通阳,散结,理气。	0	0	0
楮实、羚羊角。楮实。甘。羚羊角。咸。楮实。寒。羚羊角。寒。楮实。肝,脾,肾。清肝,利水,明目,健脾羚羊角心,肝明目,清肝,解毒,凉血,平肝。	0	0	0
野菊花、川牛膝。野菊花。苦,辛。川牛膝。甘,微苦。野菊花。平。川牛膝。平。野菊花。肝,肺。疏风,清热,解毒,平肝川牛膝肝,肾活血,祛风。	1	0	1
地锦草、冬瓜子。地锦草。辛。冬瓜子。甘。地锦草。平。冬瓜子。微寒。地锦草。肝,膀胱,胃,大肠,肺。清热,活血,退黄,解毒,止血冬瓜子肺,大肠清肺,消痈,排脓,化痰。	0	0	0
黄连、厚朴。黄连：苦、寒。厚朴：苦辛、温。 。黄连：归心、肝、胃、大肠经。厚朴：归脾、胃、大肠经。 黄连：泻火，燥湿，解毒，杀虫。厚朴：行气化湿，温中止痛，降逆平喘。 。	0	1	-1
粳米、女贞子。粳米。甘。女贞子。苦,甘。粳米。平。女贞子。凉。粳米。胃,肺,脾。补气,健脾,除烦,止泻女贞子肝,肾明目,清虚热。	0	0	0
荷叶、地锦草。荷叶。涩,苦。地锦草。辛。荷叶。平。地锦草。平。荷叶。心,肝,胆,肺,脾。散瘀,止血,清热,解暑地锦草肝,膀胱,胃,大肠,肺清热,活血,退黄,解毒,止血。	0	0	0
土贝母、鹿角胶。土贝母。苦。鹿角胶。咸,甘。土贝母。凉。鹿角胶。温。土贝母。脾,肺。清热,散结,化痰鹿角胶肝,肾止血,益精,益精血,安胎。	0	0	0
大蓟、大蒜。大蓟。微苦,甘。大蒜。辛。大蓟。凉。大蒜。温。大蓟。心,肝。止血,消肿,凉血大蒜大肠,肺,胃,脾温中,杀虫,解毒,行滞。	0	0	0
萆薢、胡黄连。萆薢。苦。胡黄连。苦。萆薢。平。胡黄连。寒。萆薢。肝,胃,膀胱。祛风胡黄连肝,胃,大肠解毒,泻火,清热。	0	0	0
白果、紫苏子。白果。涩,苦,甘。紫苏子。辛。白果。平。紫苏子。温。白果。肾,肺。止带,敛肺,缩尿紫苏子大肠,肺润肠,平喘,降气。	0	0	0
薤白、枸杞子。薤白。辛,苦。枸杞子。甘。薤白。0。枸杞子。平。薤白。心,大肠,胃,肺。宽胸,通阳,散结,理气枸杞子肝,肺,肾润肺。	0	0	0
石灰、浮萍。石灰。涩,苦,辛。浮萍。辛。石灰。温。浮萍。寒。石灰。肝。止痒,杀虫,敛疮,止血,解毒浮萍肺,膀胱解表,止痒,利水,清热,解毒,消肿,发汗,透疹。	0	0	0
白薇、大戟。白薇。苦,咸。大戟。苦,辛。白薇。寒。大戟。寒。白薇。胃,肺。解毒,利尿,疗疮,通淋,清热大戟膀胱,脾,肺,肾,肝散结,消肿,泻水,逐饮。	0	0	0
胡黄连、葱白。胡黄连。苦。葱白。辛。胡黄连。寒。葱白。温。胡黄连。肝,胃,大肠。解毒,泻火,清热葱白胃,肺杀虫,通阳,解毒。	0	0	0
独活、淫羊藿。独活。辛,苦。淫羊藿。甘,辛。独活。0。淫羊藿。温。独活。膀胱,肾。祛风,止痛,散寒淫羊藿肾,肝补肾,祛风,强筋,除湿。	0	0	0
麻黄根、薄荷。麻黄根。微苦,甘。薄荷。辛。麻黄根。平。薄荷。凉。麻黄根。肺。止汗薄荷肝,肺利咽,解郁,透疹。	0	0	0
槐花、神曲。槐花。苦。神曲。甘,辛。槐花。微寒。神曲。温。槐花。心,肝,大肠,肺。止血,清肝,凉血,明目神曲胃,脾和胃,消食,健脾。	0	0	0
白头翁、石决明。白头翁。苦。石决明。咸。白头翁。寒。石决明。寒。白头翁。胃,大肠。凉血,解毒,止痢,杀虫,清热石决明肝清热,明目,平肝。	0	0	0
百部、白附子。百部。苦,甘。白附子。辛,甘。百部。微温。白附子。温。百部。肺。灭虱,止咳,润肺,杀虫白附子肝,胃解毒,通经,祛风。	0	0	0
伏龙肝、胡桃仁。伏龙肝。辛。胡桃仁。甘,涩。伏龙肝。温。胡桃仁。温。伏龙肝。肝,胃,脾。温中,止呕,止泻,止血胡桃仁肝,肺,肾温肺,润肠,通便,补肾,固精。	0	0	0
白及、熟地黄。白及。苦,甘,涩。熟地黄。甘。白及。寒。熟地黄。温。白及。胃,肺。消肿,止血,生肌,收敛熟地黄肝,肾补血,填髓,益精。	0	0	0
马鞭草、炮姜。马鞭草。辛,苦。炮姜。苦,辛。马鞭草。微寒。炮姜。温。马鞭草。肝,脾。解毒,消肿,活血,利水,清热,截疟,通经炮姜肝,脾,胃温经,止泻,止血,温中。	0	0	0
浮萍、石决明。浮萍。辛。石决明。咸。浮萍。寒。石决明。寒。浮萍。肺,膀胱。解表,止痒,利水,清热,解毒,消肿,发汗,透疹石决明肝清热,明目,平肝。	0	0	0
马鞭草、姜黄。马鞭草。辛,苦。姜黄。苦,辛。马鞭草。微寒。姜黄。温。马鞭草。肝,脾。解毒,消肿,活血,利水,清热,截疟,通经姜黄肝,脾通经,破血,行气,止痛。	0	0	0
分心木、胡黄连。分心木。苦,涩。胡黄连。苦。分心木。平。胡黄连。寒。分心木。肾,脾。止带,止泻,缩尿,止血胡黄连肝,胃,大肠解毒,泻火,清热。	0	0	0
甘草梢、马宝。甘草梢。甘。马宝。微苦,甘,咸。甘草梢。寒。马宝。凉。甘草梢。心,肝,脾。解毒,通淋,利尿,泻火马宝心,肝清热,解毒,化痰。	0	0	0
野菊花、补骨脂。野菊花。苦,辛。补骨脂。辛,苦。野菊花。平。补骨脂。温。野菊花。肝,肺。疏风,清热,解毒,平肝补骨脂脾,心包,肾,胃,肺助阳,温脾,止泻,补肾,平喘,纳气。	1	0	1
白鲜皮、丝瓜络。白鲜皮。咸,苦。丝瓜络。苦。白鲜皮。寒。丝瓜络。凉。白鲜皮。脾,小肠,膀胱,胃,肺。祛风,清热,止痒,解毒丝瓜络肝,胃,肺消肿,解毒,通经。	0	0	0
冬瓜子、独活。冬瓜子。甘。独活。辛,苦。冬瓜子。微寒。独活。0。冬瓜子。肺,大肠。清肺,消痈,排脓,化痰独活膀胱,肾祛风,止痛,散寒。	0	0	0
厚朴花、甜瓜子。厚朴花。辛,微苦。甜瓜子。甘。厚朴花。温。甜瓜子。寒。厚朴花。胃,脾,肺。行气甜瓜子大肠,肺,胃清肺,散结,润肠。	0	0	0
黄精、麻黄根。黄精。甘。麻黄根。微苦,甘。黄精。平。麻黄根。平。黄精。脾,肺,肾。润肺麻黄根肺止汗。	0	0	0
大蓟、禹余粮。大蓟。微苦,甘。禹余粮。咸。大蓟。凉。禹余粮。平,寒。大蓟。心,肝。止血,消肿,凉血禹余粮大肠,胃,脾涩肠,止带,止血。	0	0	0
蟾酥、胡黄连。蟾酥。辛。胡黄连。苦。蟾酥。温。胡黄连。寒。蟾酥。心。消肿,解毒,止痛,辟秽胡黄连肝,胃,大肠解毒,泻火,清热。	0	0	0
百部、益母草。百部。苦,甘。益母草。辛,苦。百部。微温。益母草。0。百部。肺。灭虱,止咳,润肺,杀虫益母草心包,肾,肝利尿,解毒,消肿,调经,清热,活血。	0	0	0
绿豆、石决明。绿豆。甘。石决明。咸。绿豆。寒。石决明。寒。绿豆。心,胃。解毒,利水,清热石决明肝清热,明目,平肝。	0	0	0
厚朴花、小蓟。厚朴花。辛,微苦。小蓟。甘,微苦。厚朴花。温。小蓟。凉。厚朴花。胃,脾,肺。行气小蓟肝,脾止血,清热,凉血,消肿。	0	0	0
天麻、葶苈子。天麻。甘,辛。葶苈子。辛,苦。天麻。平。葶苈子。寒。天麻。心,肝,胆,膀胱,肾,脾。祛风,平肝,止痉,通络葶苈子心,肝,肺,胃,膀胱消肿,泻肺,降气,祛痰,利水,平喘。	0	0	0
茺蔚子、川楝子。茺蔚子。辛,甘。川楝子。苦。茺蔚子。微寒。川楝子。0。茺蔚子。肝。清肝,明目,活血,调经川楝子膀胱止痛,杀虫,行气,疏肝。	0	0	0
厚朴花、马宝。厚朴花。辛,微苦。马宝。微苦,甘,咸。厚朴花。温。马宝。凉。厚朴花。胃,脾,肺。行气马宝心,肝清热,解毒,化痰。	0	0	0
胡桃仁、罂粟壳。胡桃仁。甘,涩。罂粟壳。涩,酸。胡桃仁。温。罂粟壳。寒。胡桃仁。肝,肺,肾。温肺,润肠,通便,补肾,固精罂粟壳大肠,肺,肾固肾,止痛,敛肺,涩肠。	0	0	0
板蓝根、枳壳。板蓝根。苦。枳壳。酸,苦。板蓝根。寒。枳壳。微寒。板蓝根。肝,胃。解毒,凉血,清热,利咽枳壳肺,胃,大肠,肝,脾消积,理气,行滞,宽胸。	0	0	0
骨碎补、胡桃仁。骨碎补。苦。胡桃仁。甘,涩。骨碎补。温。胡桃仁。温。骨碎补。肾,肝。补肾,活血,止痛胡桃仁肝,肺,肾温肺,润肠,通便,补肾,固精。	0	0	0
野菊花、枸杞子。野菊花。苦,辛。枸杞子。甘。野菊花。平。枸杞子。平。野菊花。肝,肺。疏风,清热,解毒,平肝枸杞子肝,肺,肾润肺。	1	0	1
土贝母、益母草。土贝母。苦。益母草。辛,苦。土贝母。凉。益母草。0。土贝母。脾,肺。清热,散结,化痰益母草心包,肾,肝利尿,解毒,消肿,调经,清热,活血。	0	0	0
板蓝根、冬瓜子。板蓝根。苦。冬瓜子。甘。板蓝根。寒。冬瓜子。微寒。板蓝根。肝,胃。解毒,凉血,清热,利咽冬瓜子肺,大肠清肺,消痈,排脓,化痰。	0	0	0
野菊花、沙参。野菊花。苦,辛。沙参。甘,微苦。野菊花。平。沙参。微寒。野菊花。肝,肺。疏风,清热,解毒,平肝沙参胃,肺生津,清热,化痰,润肺。	1	0	1
楮实、太子参。楮实。甘。太子参。微苦,甘。楮实。寒。太子参。微寒。楮实。肝,脾,肾。清肝,利水,明目,健脾太子参肺生津。	0	0	0
土贝母、珍珠母。土贝母。苦。珍珠母。甘,咸。土贝母。凉。珍珠母。寒。土贝母。脾,肺。清热,散结,化痰珍珠母心,肝明目,清肝,平肝,安神,潜阳,定惊。	0	0	0
木通、白芍。木通。苦。白芍。苦,酸。木通。寒。白芍。微寒。木通。心,小肠,膀胱,肾,脾。利尿,清热,活血,通脉白芍肝,脾平肝,缓急,止痛,敛阴。	0	0	0
丝瓜络、独活。丝瓜络。苦。独活。辛,苦。丝瓜络。凉。独活。0。丝瓜络。肝,胃,肺。消肿,解毒,通经独活膀胱,肾祛风,止痛,散寒。	0	0	0
